tick,total_waste,green_waste,yellow_waste,red_waste,waste_disposed,avg_energy,messages_sent,avg_energy_green,avg_energy_yellow,avg_energy_red
1,15,15,0,0,0,99.0,0,99.0,99.0,99.0
2,15,15,0,0,0,98.0,3,98.0,98.0,98.0
3,15,15,0,0,0,97.0,6,97.0,97.0,97.0
4,15,15,0,0,0,96.0,10,96.0,96.0,96.0
5,14,14,0,0,0,94.66666666666667,14,94.0,95.0,95.0
6,14,14,0,0,0,93.33333333333333,21,92.0,94.0,94.0
7,14,14,0,0,0,92.0,26,90.0,93.0,93.0
8,13,13,0,0,0,90.33333333333333,31,87.0,92.0,92.0
9,13,13,0,0,0,88.25,37,82.75,91.0,91.0
10,14,13,1,0,0,87.25,41,81.75,90.0,90.0
11,13,12,1,0,0,85.91666666666667,46,79.75,89.0,89.0
12,13,12,1,0,0,84.58333333333333,52,77.75,88.0,88.0
13,13,12,1,0,0,83.25,56,75.75,87.0,87.0
14,13,12,1,0,0,81.91666666666667,60,73.75,86.0,86.0
15,13,12,1,0,0,80.58333333333333,63,71.75,85.0,85.0
16,13,12,1,0,0,79.25,66,69.75,84.0,84.0
17,13,12,1,0,0,77.91666666666667,70,67.75,83.0,83.0
18,13,12,1,0,0,76.58333333333333,74,65.75,82.0,82.0
19,13,12,1,0,0,75.25,78,63.75,81.0,81.0
20,12,12,0,0,0,73.5,82,61.75,78.75,80.0
21,11,11,0,0,0,71.75,88,58.75,77.5,79.0
22,11,11,0,0,0,69.58333333333333,93,54.5,76.25,78.0
23,12,11,1,0,0,68.5,96,53.5,75.0,77.0
24,12,11,1,0,0,67.41666666666667,100,52.5,73.75,76.0
25,12,11,1,0,0,66.0,104,51.5,71.5,75.0
26,12,11,1,0,0,64.58333333333333,108,50.5,69.25,74.0
27,12,11,1,0,0,63.166666666666664,111,49.5,67.0,73.0
28,11,11,0,0,0,61.333333333333336,115,48.5,63.5,72.0
29,11,11,0,0,0,58.800000000000004,121,47.5,57.9,71.0
30,11,11,0,0,0,56.93333333333334,125,46.5,54.3,70.0
31,11,11,0,0,0,55.06666666666666,129,45.5,50.699999999999996,69.0
32,11,11,0,0,0,53.199999999999996,132,44.5,47.099999999999994,68.0
33,10,10,0,0,0,51.0,136,42.5,43.49999999999999,67.0
34,10,10,0,0,0,48.79999999999999,141,40.5,39.89999999999999,66.0
35,10,10,0,0,0,46.599999999999994,144,38.5,36.29999999999999,65.0
36,10,10,0,0,0,44.4,149,36.5,32.69999999999999,64.0
37,9,9,0,0,0,41.86666666666667,154,33.5,29.099999999999987,63.0
38,9,9,0,0,0,38.916666666666664,159,29.25,25.499999999999986,62.0
39,10,9,0,1,0,37.49999999999999,162,27.0,24.499999999999986,61.0
40,10,9,0,1,0,38.74999999999999,165,24.75,31.499999999999986,60.0
41,10,9,0,1,0,40.33333333333333,169,22.5,39.499999999999986,59.0
42,10,9,0,1,0,41.916666666666664,173,20.25,47.499999999999986,58.0
43,10,9,0,1,0,43.5,177,18.0,55.499999999999986,57.0
44,11,9,1,1,0,45.5,181,17.0,63.499999999999986,56.0
45,11,9,1,1,0,50.166666666666664,185,24.0,71.49999999999999,55.0
46,11,9,1,1,0,55.166666666666664,190,32.0,79.49999999999999,54.0
47,11,9,1,1,0,60.166666666666664,195,40.0,87.49999999999999,53.0
48,11,9,1,1,0,65.16666666666667,200,48.0,95.49999999999999,52.0
49,11,9,1,1,0,67.16666666666667,206,56.0,94.49999999999999,51.0
50,11,9,1,1,0,69.16666666666667,212,64.0,93.49999999999999,50.0
51,11,9,1,1,0,71.16666666666667,217,72.0,92.49999999999999,49.0
52,11,9,1,1,0,73.16666666666667,221,80.0,91.49999999999999,48.0
53,11,9,1,1,0,75.16666666666667,225,88.0,90.49999999999999,47.0
54,11,9,1,1,0,77.16666666666667,229,96.0,89.49999999999999,46.0
55,11,9,1,1,0,76.16666666666667,233,95.0,88.49999999999999,45.0
56,11,9,1,1,0,75.16666666666667,237,94.0,87.49999999999999,44.0
57,11,9,1,1,0,74.16666666666667,241,93.0,86.49999999999999,43.0
58,10,9,1,0,0,74.96666666666665,246,92.0,93.49999999999999,39.4
59,9,8,1,0,0,72.76666666666667,254,90.0,92.49999999999999,35.8
60,8,8,0,0,0,70.14999999999999,260,88.0,90.24999999999999,32.199999999999996
61,8,8,0,0,0,67.86666666666666,265,86.0,88.99999999999999,28.599999999999994
62,8,8,0,0,0,65.58333333333333,268,84.0,87.74999999999999,24.999999999999993
63,8,7,0,1,0,63.83333333333332,272,81.0,86.49999999999999,23.999999999999993
64,8,7,0,1,0,64.33333333333333,277,76.75,85.24999999999999,30.999999999999993
65,8,7,0,1,0,65.83333333333333,281,74.5,83.99999999999999,38.99999999999999
66,8,7,0,1,0,67.33333333333333,285,72.25,82.74999999999999,46.99999999999999
67,8,7,0,1,0,68.83333333333333,289,70.0,81.49999999999999,54.99999999999999
