tick,total_waste,green_waste,yellow_waste,red_waste,waste_disposed,avg_energy,messages_sent
1,15,15,0,0,0,99.0,0
2,14,14,0,0,0,97.88888888888889,6
3,13,13,0,0,0,96.77777777777777,12
4,12,12,0,0,0,95.66666666666667,19
5,12,12,0,0,0,94.66666666666667,26
6,12,12,0,0,0,93.66666666666667,34
7,12,12,0,0,0,92.66666666666667,43
8,11,11,0,0,0,91.55555555555556,49
9,11,11,0,0,0,90.11111111111111,56
10,11,11,0,0,0,89.11111111111111,66
11,11,11,0,0,0,88.11111111111111,75
12,11,11,0,0,0,87.11111111111111,84
13,11,11,0,0,0,86.11111111111111,94
14,11,11,0,0,0,85.11111111111111,103
15,11,11,0,0,0,84.11111111111111,111
16,10,10,0,0,0,83.0,119
17,11,10,1,0,0,81.55555555555556,127
18,11,10,1,0,0,80.55555555555556,137
19,11,10,1,0,0,79.55555555555556,145
20,12,10,2,0,0,78.55555555555556,153
21,12,10,2,0,0,77.55555555555556,162
22,12,10,2,0,0,76.55555555555556,170
23,10,9,1,0,0,75.33333333333333,177
24,10,9,1,0,0,74.33333333333333,183
25,10,9,1,0,0,73.33333333333333,192
26,10,9,1,0,0,72.33333333333333,201
27,9,8,1,0,0,71.22222222222223,209
28,9,8,1,0,0,70.22222222222223,218
29,9,8,1,0,0,69.22222222222223,227
30,8,7,1,0,0,68.11111111111111,235
31,8,7,1,0,0,66.66666666666667,243
32,7,6,1,0,0,65.55555555555556,250
33,6,5,1,0,0,64.0,257
34,6,5,1,0,0,62.55555555555556,265
35,7,5,2,0,0,61.55555555555556,274
36,7,5,2,0,0,60.55555555555556,284
37,7,5,2,0,0,59.55555555555556,294
38,7,5,2,0,0,58.55555555555556,304
39,7,5,2,0,0,57.55555555555556,314
40,8,5,3,0,0,56.44444444444444,322
41,7,4,3,0,0,56.22222222222222,330
42,7,4,3,0,0,56.111111111111114,336
43,7,4,3,0,0,55.111111111111114,343
44,6,3,3,0,0,54.0,349
45,6,3,3,0,0,52.55555555555556,357
46,6,3,3,0,0,51.55555555555556,366
47,6,3,3,0,0,50.55555555555556,375
48,6,3,3,0,0,49.55555555555556,384
49,5,3,2,0,0,48.44444444444444,392
50,5,3,2,0,0,47.0,400
51,5,3,2,0,0,46.0,409
52,5,3,2,0,0,45.0,418
53,5,3,2,0,0,44.0,427
54,6,3,3,0,0,43.0,436
55,6,3,3,0,0,42.0,446
56,6,3,3,0,0,41.0,455
57,5,3,2,0,0,39.888888888888886,462
58,5,3,2,0,0,38.44444444444444,470
59,5,3,2,0,0,37.44444444444444,479
60,5,0,5,0,0,36.44444444444444,488
61,6,0,5,1,0,35.44444444444444,497
62,6,0,5,1,0,34.44444444444444,507
63,6,0,5,1,0,33.44444444444444,516
64,6,0,5,1,0,32.44444444444444,525
65,6,0,5,1,0,31.444444444444443,534
66,6,0,5,1,0,30.444444444444443,543
67,6,0,5,1,0,29.444444444444443,552
68,6,0,5,1,0,28.444444444444443,561
69,7,0,5,2,0,27.444444444444443,570
70,7,0,5,2,0,26.444444444444443,580
71,7,0,5,2,0,25.444444444444443,590
72,7,0,5,2,0,24.444444444444443,599
73,7,0,5,2,0,23.444444444444443,608
74,6,0,4,2,0,22.333333333333332,616
75,5,0,4,1,0,21.22222222222222,623
76,5,0,4,1,0,20.22222222222222,631
77,5,0,4,1,0,19.22222222222222,639
78,4,0,4,0,0,18.11111111111111,646
79,4,0,4,0,0,17.11111111111111,654
80,4,0,4,0,0,16.11111111111111,663
81,4,0,4,0,0,15.11111111111111,672
82,4,0,4,0,0,14.11111111111111,681
83,4,0,4,0,0,13.11111111111111,690
84,4,0,4,0,0,12.11111111111111,699
85,4,0,4,0,0,11.11111111111111,708
86,4,0,4,0,1,10.11111111111111,717
87,4,0,4,0,1,9.11111111111111,726
88,4,0,4,0,1,8.11111111111111,735
89,4,0,4,0,2,8.0,744
